Time,Ay      ,AVz     
          4.7, 0.463163226843, 7.74159002304
        4.725, 0.460555166006, 7.54650402069
         4.75, 0.457321971655, 7.34555053711
        4.775, 0.453373730183, 7.13940238953
          4.8, 0.448573350906, 6.92795562744
        4.825, 0.442838191986, 6.70996570587
         4.85, 0.436253219843, 6.48475837708
        4.875, 0.428856998682,  6.2522778511
          4.9, 0.420702934265,  6.0128531456
        4.925, 0.411703497171, 5.76767444611
         4.95, 0.401902705431, 5.52083730698
        4.975, 0.391510426998,  5.2735247612
            5, 0.380483150482, 5.02517747879
        5.025, 0.368544876575, 4.77346801758
         5.05, 0.356202602386, 4.51666355133
        5.075, 0.343405604362, 4.25591850281
          5.1, 0.33017757535, 3.99463939667
        5.125, 0.316676139832, 3.73445606232
         5.15, 0.302746355534, 3.47700333595
        5.175, 0.288462340832, 3.22656869888
          5.2, 0.273650467396, 2.98239016533
        5.225, 0.258773386478, 2.74239110947
         5.25, 0.243907719851, 2.50722646713
        5.275, 0.229034870863, 2.27892112732
          5.3, 0.214313700795, 2.05837512016
        5.325, 0.199780508876, 1.84620344639
         5.35, 0.185286730528, 1.64349639416
        5.375, 0.170862212777, 1.45168292522
          5.4, 0.156720414758, 1.26875936985
        5.425, 0.143036752939, 1.09473800659
         5.45, 0.129816055298, 0.930465817451
        5.475, 0.117162145674, 0.777599751949
          5.5, 0.10504193604, 0.636776149273
        5.525, 0.0934149250388, 0.50765055418
         5.55, 0.0822824537754,  0.3893661201
        5.575, 0.0716038569808, 0.28110486269
          5.6, 0.0614492930472, 0.182352796197
        5.625, 0.0518011674285, 0.0916765704751
         5.65, 0.0427393913269, 0.00776273431256
        5.675, 0.0342589244246, -0.0700894445181
          5.7, 0.026348117739, -0.142450302839
        5.725, 0.018934039399, -0.209981903434
         5.75, 0.0119589231908, -0.273996084929
        5.775, 0.00546861765906, -0.33543202281
          5.8, -0.00052160222549, -0.394485265017
        5.825, -0.00603383826092, -0.450967669487
         5.85, -0.0110983895138, -0.504568576813
        5.875, -0.0157517250627, -0.554968595505
          5.9, -0.0200201198459, -0.601894676685
        5.925, -0.0239268653095, -0.645092070103
         5.95, -0.0274958927184, -0.684370219707
        5.975, -0.0307471305132, -0.719600081444
            6, -0.0336986742914, -0.750720202923
        6.025, -0.0363640747964, -0.777723610401
         6.05, -0.0387540124357, -0.800622522831
        6.075, -0.0408836044371, -0.8194835186
          6.1, -0.0427617579699, -0.83440464735
        6.125, -0.0444010458887, -0.845519959927
         6.15, -0.0458057373762, -0.852964103222
        6.175, -0.0469923764467, -0.856914937496
          6.2, -0.0479627065361, -0.857526004314
        6.225, -0.0487301833928, -0.855031430721
         6.25, -0.049303304404, -0.849585235119
        6.275, -0.0496911332011, -0.84142267704
          6.3, -0.0499048642814, -0.830821216106
