Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
         0.29, -0.00626394897699, 0.43112668395, -0.0867374166846, -256.069030762, -35.2657928467, 5995.82373047, 3.37497138977, 2.55036902428
        0.291, -0.00587573600933, 0.436968773603, -0.0804747492075, -272.751220703, -44.2569656372, 5958.90869141, 3.21188497543, 2.91826605797
        0.292, -0.00539152184501, 0.441730827093, -0.0739362835884, -287.039550781, -53.1892433167, 5918.94580078, 3.03885650635, 3.27523398399
        0.293, -0.00482893968001, 0.445416033268, -0.0671497732401, -298.611114502, -62.0325622559, 5876.27587891, 2.85719537735, 3.61989331245
        0.294, -0.00420715566725, 0.448036670685, -0.0601438097656, -307.239746094, -70.7582244873, 5831.24365234,  2.6682240963, 3.95104765892
        0.295, -0.00354621768929, 0.449613243341, -0.0529476627707, -312.797790527, -79.3391647339, 5784.19775391, 2.47326207161, 4.26769113541
        0.296, -0.00286641484126, 0.450173437595, -0.0455910749733, -315.254516602, -87.750213623, 5735.48535156, 2.27361249924, 4.56900835037
        0.297, -0.00218765926547, 0.449751287699, -0.0381041020155, -314.67175293, -95.9682312012, 5685.45166016, 2.07054758072, 4.85437250137
        0.298, -0.00152891746257, 0.448386132717, -0.030516942963, -311.196777344, -103.972320557, 5634.43896484, 1.86529755592, 5.12334156036
        0.299, -0.000907699053641, 0.446121990681, -0.0228597726673, -305.053314209, -111.74382782, 5582.78369141, 1.65903997421, 5.37565517426
          0.3, -0.000339615740813, 0.443006634712, -0.0151625787839, -296.530517578, -119.266471863, 5530.81396484, 1.45288980007, 5.61122846603
        0.301, 0.000161978357937, 0.439090937376, -0.00745500391349, -285.970947266, -126.526313782, 5478.85009766, 1.24789261818, 5.83014678955
        0.302, 0.00058626109967, 0.434428066015, 0.000233802376897, -273.757324219, -133.51171875, 5427.20214844, 1.04501795769, 6.03267717361
        0.303, 0.000925126310904, 0.429072856903, 0.00787531584501, -260.299194336, -140.213226318, 5376.16748047, 0.845154583454, 6.21978473663
        0.304, 0.00117327843327, 0.423081278801, 0.015441833064, -246.019302368, -146.623550415, 5326.03222656, 0.649106681347, 6.39146137238
        0.305, 0.00132823805325, 0.416509836912, 0.0229065641761, -231.340606689, -152.737609863, 5277.06835938, 0.45759499073, 6.54837989807
        0.306, 0.00139026448596, 0.409414917231, 0.0302437525243, -216.673751831, -158.552322388, 5229.53271484, 0.271255791187, 6.69132852554
        0.307, 0.0013622015249, 0.401852399111, 0.0374287962914, -202.405899048, -164.06640625, 5183.66650391, 0.0906417667866, 6.82119369507
        0.308, 0.00124925503042, 0.393877178431, 0.044438354671, -188.890853882, -169.28024292, 5139.69628906, -0.0837754160166, 6.93893384933
        0.309, 0.00105871341657, 0.385542780161, 0.0512504465878, -176.440734863, -174.195709229, 5097.83056641, -0.251601666212, 7.04556035995
         0.31, 0.000799623900093, 0.376901090145, 0.0578445270658, -165.319519043, -178.81602478, 5058.26171875, -0.412516027689,  7.1421122551
        0.311, 0.000482434348669, 0.368002027273, 0.0642015561461, -155.738449097, -183.145507812, 5021.16503906, -0.566265583038, 7.22963094711
        0.312, 0.000118616531836, 0.358893275261, 0.070304043591, -147.853134155, -187.189453125, 4986.69775391, -0.712659597397, 7.30914020538
        0.313, -0.000279718457023, 0.349620223045, 0.0761361196637, -141.762786865, -190.953964233, 4954.99951172, -0.851563632488, 7.38162612915
        0.314, -0.000700199976563, 0.340225845575, 0.081683523953, -137.510848999, -194.445800781, 4926.19433594, -0.982892692089, 7.44802045822
        0.315, -0.00113056169357, 0.330750584602, 0.0869336724281, -135.087493896, -197.672164917, 4900.38769531, -1.10660529137, 7.50918769836
        0.316, -0.0015589807881, 0.321232557297, 0.0918756052852, -134.433242798, -200.640716553, 4877.66845703, -1.22269666195, 7.56591749191
        0.317, -0.0019743880257, 0.311711549759, 0.0965000838041, -135.443893433, -203.36038208, 4858.10791016, -1.33118581772, 7.61896181107
        0.318, -0.0023667414207, 0.302233576775, 0.100799776614, -137.976593018, -205.83821106,  4841.7578125, -1.43213891983,  7.6688990593
        0.319, -0.00272724451497, 0.292851150036, 0.104769818485, -141.856414795, -208.08291626, 4828.64648438, -1.52565097809, 7.71627569199
         0.32, -0.00304851634428, 0.283622950315, 0.108407944441, -146.883453369, -210.103713989, 4818.77636719, -1.61185240746, 7.76155900955
        0.321, -0.00332470820285, 0.274612516165, 0.111714847386, -152.840072632, -211.910491943, 4812.12060547, -1.69091260433, 7.80514383316
        0.322, -0.00355156487785, 0.265935599804, 0.11469694227, -159.498214722, -213.513977051, 4808.62207031, -1.76311326027, 7.84734725952
        0.323, -0.00372646027245, 0.257512927055, 0.11735380441, -166.626190186, -214.924468994, 4808.19433594, -1.82849860191, 7.88844299316
        0.324, -0.00384831870906, 0.249590858817, 0.119705475867, -173.995407104, -216.155654907, 4810.71630859, -1.88762223721, 7.92864370346
