rpm,hp,torque
5570,3.57,4.57
5580,3.58,4.58
5590,3.59,4.59
5600,3.6,4.6
5610,3.61,4.6
5620,3.62,4.6
5630,3.63,4.6
5640,3.64,4.6
5650,3.65,4.6
5660,3.66,4.6
5670,3.67,4.6
5680,3.68,4.6
5690,3.69,4.6
5700,3.7,4.6
5710,3.71,4.61
5720,3.72,4.62
5730,3.73,4.63
5740,3.74,4.64
5750,3.75,4.65
5760,3.76,4.66
5770,3.77,4.67
5780,3.78,4.68
5790,3.79,4.69
5800,3.8,4.7
5810,3.81,4.7
5820,3.82,4.7
5830,3.83,4.7
5840,3.84,4.7
5850,3.85,4.7
5860,3.86,4.7
5870,3.87,4.7
5880,3.88,4.7
5890,3.89,4.7
5900,3.9,4.7
5910,3.91,4.71
5920,3.92,4.72
5930,3.93,4.73
5940,3.94,4.74
5950,3.95,4.75
5960,3.96,4.76
5970,3.97,4.77
5980,3.98,4.78
5990,3.99,4.79
6000,4,4.8
6010,4.01,4.8
6020,4.02,4.8
6030,4.03,4.8
6040,4.04,4.8
6050,4.05,4.8
6060,4.06,4.8
6070,4.07,4.8
6080,4.08,4.8
6090,4.09,4.8
6100,4.1,4.8
6110,4.12,4.81
6120,4.14,4.82
6130,4.16,4.83
6140,4.18,4.84
6150,4.2,4.85
6160,4.22,4.86
6170,4.24,4.87
6180,4.26,4.88
6190,4.28,4.89
6200,4.3,4.9
6210,4.3,4.9
6220,4.3,4.9
6230,4.3,4.9
6240,4.3,4.9
6250,4.3,4.9
6260,4.3,4.9
6270,4.3,4.9
6280,4.3,4.9
6290,4.3,4.9
6300,4.3,4.9
6310,4.31,4.9
6320,4.32,4.9
6330,4.33,4.9
6340,4.34,4.9
6350,4.35,4.9
6360,4.36,4.9
6370,4.37,4.9
6380,4.38,4.9
6390,4.39,4.9
6400,4.4,4.9
6410,4.42,4.91
6420,4.44,4.92
6430,4.46,4.93
6440,4.48,4.94
6450,4.5,4.95
6460,4.52,4.96
6470,4.54,4.97
6480,4.56,4.98
6490,4.58,4.99
6500,4.6,5
6510,4.6,5
6520,4.6,5
6530,4.6,5
6540,4.6,5
6550,4.6,5
6560,4.6,5
6570,4.6,5
6580,4.6,5
6590,4.6,5
6600,4.6,5
6610,4.61,5
6620,4.62,5
6630,4.63,5
6640,4.64,5
6650,4.65,5
6660,4.66,5
6670,4.67,5
6680,4.68,5
6690,4.69,5
6700,4.7,5
6710,4.71,5
6720,4.72,5
6730,4.73,5
6740,4.74,5
6750,4.75,5
6760,4.76,5
6770,4.77,5
6780,4.78,5
6790,4.79,5
6800,4.8,5
6810,4.81,5.01
6820,4.82,5.02
6830,4.83,5.03
6840,4.84,5.04
6850,4.85,5.05
6860,4.86,5.06
6870,4.87,5.07
6880,4.88,5.08
6890,4.89,5.09
6900,4.9,5.1
6910,4.91,5.1
6920,4.92,5.1
6930,4.93,5.1
6940,4.94,5.1
6950,4.95,5.1
6960,4.96,5.1
6970,4.97,5.1
6980,4.98,5.1
6990,4.99,5.1
7000,5,5.1
7010,5.01,5.1
7020,5.02,5.1
7030,5.03,5.1
7040,5.04,5.1
7050,5.05,5.1
7060,5.06,5.1
7070,5.07,5.1
7080,5.08,5.1
7090,5.09,5.1
7100,5.1,5.1
7110,5.11,5.1
7120,5.12,5.1
7130,5.13,5.1
7140,5.14,5.1
