Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
          0.2, 0.00974610820413, 0.580547451973, 0.756584048271, -453.942077637, -485.585174561, 6958.30517578, -26.1424713135, 18.5444641113
        0.201, 0.0107414955273, 0.556743621826, 0.79459965229,  -405.5652771, -483.059783936, 6620.00683594, -26.3825111389,  17.527009964
        0.202, 0.0114468177781, 0.531685113907, 0.832198917866, -354.607299805, -479.559875488, 6287.34619141, -26.485742569, 16.4907875061
        0.203, 0.0118531510234, 0.505744934082, 0.869147002697, -302.522125244, -475.158905029, 5961.95068359, -26.455324173, 15.4479999542
        0.204, 0.0119606619701, 0.479258924723, 0.905213832855, -250.716293335, -469.937164307, 5645.35400391, -26.2973804474, 14.4108133316
        0.205, 0.0117782251909, 0.452522963285, 0.940175890923, -200.509292603, -463.983032227, 5338.98974609, -26.020740509, 13.3910474777
        0.206, 0.0113227339461, 0.425776809454, 0.97381901741, -153.098846436, -457.388397217,     5044.1875, -25.6366596222, 12.3996496201
        0.207, 0.0106182796881, 0.399237155914,  1.0059401989, -109.530990601, -450.246154785, 4762.16796875, -25.1584472656, 11.4463481903
        0.208, 0.0527185834944, 0.163664981723, 1.04038953781, -106.401603699, -347.134796143, 1779.10314941, -10.0246400833, 3.47480654716
        0.209, 0.049319114536, 0.118594869971, 1.07142794132, 70.7047729492, -329.134765625, 1542.30200195, -9.00312232971, 2.62611103058
         0.21, 0.0450693145394, 0.0770329982042, 1.09527671337, 208.432891846, -308.088500977, 1332.50939941, -7.99176073074, 1.86657512188
        0.211, 0.0401354953647, 0.0385150015354, 1.11548268795, 299.340026855, -284.585571289,  1151.8013916, -7.06430339813, 1.23739874363
        0.212, 0.0348636358976, 0.00278765521944, 1.13185203075, 345.002807617, -260.143157959, 1000.27838135, -6.24157047272, 0.768605709076
        0.213, 0.0295438282192, -0.0304881818593, 1.14423346519, 353.386047363, -236.829742432, 877.864196777, -5.54209327698, 0.461954176426
        0.214, 0.0243689548224, -0.0617798790336, 1.15249943733, 335.681365967, -216.353515625, 784.376708984, -4.98297929764, 0.289661884308
        0.215, 0.0194596108049, -0.0911751836538, 1.15658330917, 302.610900879, -199.411727905,   719.5546875, -4.57951784134, 0.210788905621
        0.216, 0.0150616392493, -0.115706391633, 1.15667200089, 262.408966064, -185.485092163, 681.444091797, -4.33307933807, 0.185436069965
        0.217, 0.0111992973834, -0.135526746511, 1.15362691879, 220.790390015, -173.266845703, 664.732116699, -4.21898651123, 0.180600076914
        0.218, 0.00774160400033, -0.152618780732, 1.14789247513, 180.828063965, -161.904754639, 667.353637695, -4.22756767273, 0.179477766156
        0.219, 0.00460943067446, -0.168024241924, 1.13975632191, 144.064559937, -151.016555786, 687.880126953, -4.34908866882, 0.173715665936
         0.22, 0.00176060735248, -0.182229235768, 1.12942147255, 110.774658203, -140.597320557, 725.183898926, -4.57283210754, 0.160436928272
        0.221, -0.000822174421046, -0.195424586535, 1.11704385281, 80.3942184448, -130.798614502, 778.298339844, -4.88732290268, 0.139441251755
        0.222, -0.00313734379597, -0.207608968019, 1.10277593136, 52.0167427063, -121.754226685, 846.222717285, -5.28007411957, 0.111225008965
