time,latitude,longitude,throttle,gear,speed_kmh,rpm
63.0,33.622653117,72.955963858,0.0,1,0.0,1500
63.1,33.622653117,72.955963858,0.0,1,0.0,1500
63.2,33.622653117,72.955963858,0.0,1,0.0,1500
63.3,33.622653117,72.955963858,0.0,1,0.0,1500
63.4,33.622653117,72.955963858,0.0,1,0.0,1500
63.5,33.622653117,72.955963858,0.0,1,0.0,1500
63.6,33.622653117,72.955963858,0.0,1,0.0,1500
63.7,33.622653117,72.955963858,0.0,1,0.0,1500
63.8,33.622653117,72.955963858,0.0,1,0.0,1500
63.9,33.622653117,72.955963858,0.0,1,0.0,1500
64.0,33.622653117,72.955963858,0.0,1,0.0,1500
64.1,33.622653117,72.955963858,0.0,1,0.0,1500
64.2,33.622653117,72.955963858,0.0,1,0.0,1500
64.3,33.622653117,72.955963858,0.0,1,0.0,1500
64.4,33.622653117,72.955963858,0.0,1,0.0,1500
64.5,33.622653117,72.955963858,0.0,1,0.0,1500
64.6,33.622653117,72.955963858,0.0,1,0.0,1500
64.7,33.622653117,72.955963858,0.0,1,0.0,1500
64.8,33.622653117,72.955963858,0.0,1,0.0,1500
64.9,33.622653117,72.955963858,0.0,1,0.0,1500
65.0,33.622653117,72.955963858,0.0,1,0.0,1500
65.1,33.622653117,72.955963858,0.0,1,0.0,1500
65.2,33.622653117,72.955963858,0.0,1,0.0,1500
65.3,33.622653117,72.955963858,0.0,1,0.0,1500
65.4,33.622653117,72.955963858,0.0,1,0.0,1500
65.5,33.622653117,72.955963858,0.0,1,0.0,1500
65.6,33.622653117,72.955963858,0.0,1,0.0,1500
65.7,33.622653117,72.955963858,0.0,1,0.0,1500
65.8,33.622653117,72.955963858,0.0,1,0.0,1500
65.9,33.622653117,72.955963858,0.0,1,0.0,1500
66.0,33.622653117,72.955963858,0.0,1,0.0,1500
66.1,33.622653117,72.955963858,0.0,1,0.0,1500
66.2,33.622653117,72.955963858,0.0,1,0.0,1500
66.3,33.622653117,72.955963858,0.0,1,0.0,1500
66.4,33.622653117,72.955963858,0.0,1,0.0,1500
66.5,33.622653117,72.955963858,0.0,1,0.0,1500
66.6,33.622653117,72.955963858,0.0,1,0.0,1500
66.7,33.622653117,72.955963858,0.0,1,0.0,1500
66.8,33.622653117,72.955963858,0.0,1,0.0,1500
66.9,33.622653117,72.955963858,0.0,1,0.0,1500
67.0,33.622653117,72.955963858,0.0,1,0.0,1500
67.1,33.622653117,72.955963858,0.0,1,0.0,1500
67.2,33.622653117,72.955963858,0.0,1,0.0,1500
67.3,33.622653117,72.955963858,0.0,1,0.0,1500
67.4,33.622653117,72.955963858,0.0,1,0.0,1500
67.5,33.622653117,72.955963858,0.0,1,0.0,1500
67.6,33.622653117,72.955963858,0.0,1,0.0,1500
67.7,33.622653117,72.955963858,0.0,1,0.0,1500
67.8,33.622653117,72.955963858,0.0,1,0.0,1500
67.9,33.622653117,72.955963858,0.0,1,0.0,1500
68.0,33.622653117,72.955963858,0.0,1,0.0,1500
68.1,33.622653117,72.955963858,0.0,1,0.0,1500
68.2,33.622653117,72.955963858,0.0,1,0.0,1500
68.3,33.622653117,72.955963858,0.0,1,0.0,1500
68.4,33.622653117,72.955963858,0.0,1,0.0,1500
68.5,33.622653117,72.955963858,0.0,1,0.0,1500
68.6,33.622653117,72.955963858,0.0,1,0.0,1500
68.7,33.622653117,72.955963858,0.0,1,0.0,1500
68.8,33.622653117,72.955963858,0.0,1,0.0,1500
68.9,33.622653117,72.955963858,0.0,1,0.0,1500
69.0,33.622653117,72.955963858,0.0,1,0.0,1500
69.1,33.622653117,72.955963858,0.0,1,0.0,1500
69.2,33.622653117,72.955963858,0.0,1,0.0,1500
69.3,33.622653117,72.955963858,0.0,1,0.0,1500
69.4,33.622653117,72.955963858,0.0,1,0.0,1500
69.5,33.622653117,72.955963858,0.0,1,0.0,1500
69.6,33.622653117,72.955963858,0.0,1,0.0,1500
69.7,33.622653117,72.955963858,0.0,1,0.0,1500
69.8,33.622653117,72.955963858,0.0,1,0.0,1500
69.9,33.622653117,72.955963858,0.0,1,0.0,1500
70.0,33.622653117,72.955963858,0.0,1,0.0,1500
70.1,33.622653117,72.955963858,0.0,1,0.0,1500
70.2,33.622653117,72.955963858,0.0,1,0.0,1500
70.3,33.622653117,72.955963858,0.0,1,0.0,1500
70.4,33.622653117,72.955963858,0.0,1,0.0,1500
70.5,33.622653117,72.955963858,0.0,1,0.0,1500
70.6,33.622653117,72.955963858,0.0,1,0.0,1500
70.7,33.622653117,72.955963858,0.0,1,0.0,1500
70.8,33.622653117,72.955963858,0.0,1,0.0,1500
70.9,33.622653117,72.955963858,0.0,1,0.0,1500
71.0,33.622653117,72.955963858,0.0,1,0.0,1500
71.1,33.622653117,72.955963858,0.0,1,0.0,1500
71.2,33.622653117,72.955963858,0.0,1,0.0,1500
71.3,33.622653117,72.955963858,0.0,1,0.0,1500
71.4,33.622653117,72.955963858,0.0,1,0.0,1500
71.5,33.622653117,72.955963858,0.0,1,0.0,1500
71.6,33.622653117,72.955963858,0.0,1,0.0,1500
71.7,33.622653117,72.955963858,0.0,1,0.0,1500
71.8,33.622653117,72.955963858,0.0,1,0.0,1500
71.9,33.622653117,72.955963858,0.0,1,0.0,1500
72.0,33.622653117,72.955963858,0.0,1,0.0,1500
72.1,33.622653117,72.955963858,0.0,1,0.0,1500
72.2,33.622653117,72.955963858,0.0,1,0.0,1500
72.3,33.622653117,72.955963858,0.0,1,0.0,1500
72.4,33.622653117,72.955963858,0.0,1,0.0,1500
72.5,33.622653117,72.955963858,0.0,1,0.0,1500
72.6,33.622653117,72.955963858,0.0,1,0.0,1500
72.7,33.622653117,72.955963858,0.0,1,0.0,1500
72.8,33.622653117,72.955963858,0.0,1,0.0,1500
72.9,33.622653117,72.955963858,0.0,1,0.0,1500
73.0,33.622653117,72.955963858,0.0,1,0.0,1500
73.1,33.622653117,72.955963858,0.0,1,0.0,1500
73.2,33.622653117,72.955963858,0.0,1,0.0,1500
73.3,33.622653117,72.955963858,0.0,1,0.0,1500
73.4,33.622653117,72.955963858,0.0,1,0.0,1500
73.5,33.622653117,72.955963858,0.0,1,0.0,1500
73.6,33.622653117,72.955963858,0.0,1,0.0,1500
73.7,33.622653117,72.955963858,0.0,1,0.0,1500
73.8,33.622653117,72.955963858,0.0,1,0.0,1500
73.9,33.622653117,72.955963858,0.0,1,0.0,1500
74.0,33.622653117,72.955963858,0.0,1,0.0,1500
74.1,33.622653117,72.955963858,0.0,1,0.0,1500
74.2,33.622653117,72.955963858,0.0,1,0.0,1500
74.3,33.622653117,72.955963858,0.0,1,0.0,1500
74.4,33.622653117,72.955963858,0.0,1,0.0,1500
74.5,33.622653117,72.955963858,0.0,1,0.0,1500
74.6,33.622653117,72.955963858,0.0,1,0.0,1500
74.7,33.622653117,72.955963858,0.0,1,0.0,1500
74.8,33.622653117,72.955963858,0.0,1,0.0,1500
74.9,33.622653117,72.955963858,0.0,1,0.0,1500
75.0,33.622653117,72.955963858,0.0,1,0.0,1500
75.1,33.622653117,72.955963858,0.0,1,0.0,1500
75.2,33.622653117,72.955963858,0.0,1,0.0,1500
75.3,33.622653117,72.955963858,0.0,1,0.0,1500
75.4,33.622653117,72.955963858,0.0,1,0.0,1500
75.5,33.622653117,72.955963858,0.0,1,0.0,1500
75.6,33.622653117,72.955963858,0.0,1,0.0,1500
75.7,33.622653117,72.955963858,0.0,1,0.0,1500
75.8,33.622653117,72.955963858,0.0,1,0.0,1500
75.9,33.622653117,72.955963858,0.0,1,0.0,1500
76.0,33.622653117,72.955963858,0.0,1,0.0,1500
76.1,33.622653117,72.955963858,0.0,1,0.0,1500
76.2,33.622653117,72.955963858,0.0,1,0.0,1500
76.3,33.622653117,72.955963858,0.0,1,0.0,1500
76.4,33.622653117,72.955963858,0.0,1,0.0,1500
76.5,33.622653117,72.955963858,0.0,1,0.0,1500
76.6,33.622653117,72.955963858,0.0,1,0.0,1500
76.7,33.622653117,72.955963858,0.0,1,0.0,1500
76.8,33.622653117,72.955963858,0.0,1,0.0,1500
76.9,33.622653117,72.955963858,0.0,1,0.0,1500
77.0,33.622653117,72.955963858,0.0,1,0.0,1500
77.1,33.622653117,72.955963858,0.0,1,0.0,1500
77.2,33.622653117,72.955963858,0.0,1,0.0,1500
77.3,33.622653117,72.955963858,0.0,1,0.0,1500
77.4,33.622653117,72.955963858,0.0,1,0.0,1500
77.5,33.622653117,72.955963858,0.0,1,0.0,1500
77.6,33.622653117,72.955963858,0.0,1,0.0,1500
77.7,33.622653117,72.955963858,0.0,1,0.0,1500
77.8,33.622653117,72.955963858,0.0,1,0.0,1500
77.9,33.622653117,72.955963858,0.0,1,0.0,1500
78.0,33.622653117,72.955963858,0.0,1,0.0,1500
78.1,33.622653117,72.955963858,0.0,1,0.0,1500
78.2,33.622653117,72.955963858,0.0,1,0.0,1500
78.3,33.622653117,72.955963858,0.0,1,0.0,1500
78.4,33.622653117,72.955963858,0.0,1,0.0,1500
78.5,33.622653117,72.955963858,0.0,1,0.0,1500
78.6,33.622653117,72.955963858,0.0,1,0.0,1500
78.7,33.622653117,72.955963858,0.0,1,0.0,1500
78.8,33.622653117,72.955963858,0.0,1,0.0,1500
78.9,33.622653117,72.955963858,0.0,1,0.0,1500
79.0,33.622653117,72.955963858,0.0,1,0.0,1500
79.1,33.622653117,72.955963858,0.0,1,0.0,1500
79.2,33.622653117,72.955963858,0.0,1,0.0,1500
79.3,33.622653117,72.955963858,0.0,1,0.0,1500
79.4,33.622653117,72.955963858,0.0,1,0.0,1500
79.5,33.622653117,72.955963858,0.0,1,0.0,1500
79.6,33.622653117,72.955963858,0.0,1,0.0,1500
79.7,33.622653117,72.955963858,0.0,1,0.0,1500
79.8,33.622653117,72.955963858,0.0,1,0.0,1500
79.9,33.622653117,72.955963858,0.0,1,0.0,1500
80.0,33.622653117,72.955963858,0.0,1,0.0,1500
80.1,33.622653117,72.955963858,0.0,1,0.0,1500
80.2,33.622653117,72.955963858,0.0,1,0.0,1500
80.3,33.622653117,72.955963858,0.0,1,0.0,1500
80.4,33.622653117,72.955963858,0.0,1,0.0,1500
80.5,33.622653117,72.955963858,0.0,1,0.0,1500
80.6,33.622653117,72.955963858,0.0,1,0.0,1500
80.7,33.622653117,72.955963858,0.0,1,0.0,1500
80.8,33.622653117,72.955963858,0.0,1,0.0,1500
80.9,33.622653117,72.955963858,0.0,1,0.0,1500
81.0,33.622653117,72.955963858,0.0,1,0.0,1500
81.1,33.622653117,72.955963858,0.0,1,0.0,1500
81.2,33.622653117,72.955963858,0.0,1,0.0,1500
81.3,33.622653117,72.955963858,0.0,1,0.0,1500
81.4,33.622653117,72.955963858,0.0,1,0.0,1500
81.5,33.622653117,72.955963858,0.0,1,0.0,1500
81.6,33.622653117,72.955963858,0.0,1,0.0,1500
81.7,33.622653117,72.955963858,0.0,1,0.0,1500
81.8,33.622653117,72.955963858,0.0,1,0.0,1500
81.9,33.622653117,72.955963858,0.0,1,0.0,1500
82.0,33.622653117,72.955963858,0.0,1,0.0,1500
82.1,33.622653117,72.955963858,0.0,1,0.0,1500
82.2,33.622653117,72.955963858,0.0,1,0.0,1500
82.3,33.622653117,72.955963858,0.0,1,0.0,1500
82.4,33.622653117,72.955963858,0.0,1,0.0,1500
82.5,33.622653117,72.955963858,0.0,1,0.0,1500
82.6,33.622653117,72.955963858,0.0,1,0.0,1500
82.7,33.622653117,72.955963858,0.0,1,0.0,1500
82.8,33.622653117,72.955963858,0.0,1,0.0,1500
82.9,33.622653117,72.955963858,0.0,1,0.0,1500
83.0,33.622653117,72.955963858,0.0,1,0.0,1500
83.1,33.622653117,72.955963858,0.0,1,0.0,1500
83.2,33.622653117,72.955963858,0.0,1,0.0,1500
83.3,33.622653117,72.955963858,0.0,1,0.0,1500
83.4,33.622653117,72.955963858,0.0,1,0.0,1500
83.5,33.622653117,72.955963858,0.0,1,0.0,1500
83.6,33.622653117,72.955963858,0.0,1,0.0,1500
83.7,33.622653117,72.955963858,0.0,1,0.0,1500
83.8,33.622653117,72.955963858,0.0,1,0.0,1500
83.9,33.622653117,72.955963858,0.0,1,0.0,1500
84.0,33.622653117,72.955963858,0.0,1,0.0,1500
84.1,33.622653117,72.955963858,0.0,1,0.0,1500
84.2,33.622653117,72.955963858,0.0,1,0.0,1500
84.3,33.622653117,72.955963858,0.0,1,0.0,1500
84.4,33.622653117,72.955963858,0.0,1,0.0,1500
84.5,33.622653117,72.955963858,0.0,1,0.0,1500
84.6,33.622653117,72.955963858,0.0,1,0.0,1500
84.7,33.622653117,72.955963858,0.0,1,0.0,1500
84.8,33.622653117,72.955963858,0.0,1,0.0,1500
84.9,33.622653117,72.955963858,0.0,1,0.0,1500
85.0,33.622653117,72.955963858,0.0,1,0.0,1500
85.1,33.622653117,72.955963858,0.0,1,0.0,1500
85.2,33.622653117,72.955963858,0.0,1,0.0,1500
85.3,33.622653117,72.955963858,0.0,1,0.0,1500
85.4,33.622653117,72.955963858,0.0,1,0.0,1500
85.5,33.622653117,72.955963858,0.0,1,0.0,1500
85.6,33.622653117,72.955963858,0.0,1,0.0,1500
85.7,33.622653117,72.955963858,0.0,1,0.0,1500
85.8,33.622653117,72.955963858,0.0,1,0.0,1500
85.9,33.622653117,72.955963858,0.0,1,0.0,1500
86.0,33.622653117,72.955963858,0.0,1,0.0,1500
86.1,33.622653117,72.955963858,0.0,1,0.0,1500
86.2,33.622653117,72.955963858,0.0,1,0.0,1500
86.3,33.622653117,72.955963858,0.0,1,0.0,1500
86.4,33.622653117,72.955963858,0.0,1,0.0,1500
86.5,33.622653117,72.955963858,0.0,1,0.0,1500
86.6,33.622653117,72.955963858,0.0,1,0.0,1500
86.7,33.622653117,72.955963858,0.0,1,0.0,1500
86.8,33.622653117,72.955963858,0.0,1,0.0,1500
86.9,33.622653117,72.955963858,0.0,1,0.0,1500
87.0,33.622653117,72.955963858,0.0,1,0.0,1500
87.1,33.622653117,72.955963858,0.0,1,0.0,1500
87.2,33.622653117,72.955963858,0.0,1,0.0,1500
87.3,33.622653117,72.955963858,0.0,1,0.0,1500
87.4,33.622653117,72.955963858,0.0,1,0.0,1500
87.5,33.622653117,72.955963858,0.0,1,0.0,1500
87.6,33.622653117,72.955963858,0.0,1,0.0,1500
87.7,33.622653117,72.955963858,0.0,1,0.0,1500
87.8,33.622653117,72.955963858,0.0,1,0.0,1500
87.9,33.622653117,72.955963858,0.0,1,0.0,1500
88.0,33.622653117,72.955963858,0.0,1,0.0,1500
88.1,33.622653117,72.955963858,0.0,1,0.0,1500
88.2,33.622653117,72.955963858,0.0,1,0.0,1500
88.3,33.622653117,72.955963858,0.0,1,0.0,1500
88.4,33.622653117,72.955963858,0.0,1,0.0,1500
88.5,33.622653117,72.955963858,0.0,1,0.0,1500
88.6,33.622653117,72.955963858,0.0,1,0.0,1500
88.7,33.622653117,72.955963858,0.0,1,0.0,1500
88.8,33.622653117,72.955963858,0.0,1,0.0,1500
88.9,33.622653117,72.955963858,0.0,1,0.0,1500
89.0,33.622653117,72.955963858,0.0,1,0.0,1500
89.1,33.622653117,72.955963858,0.0,1,0.0,1500
89.2,33.622653117,72.955963858,0.0,1,0.0,1500
89.3,33.622653117,72.955963858,0.0,1,0.0,1500
89.4,33.622653117,72.955963858,0.0,1,0.0,1500
89.5,33.622653117,72.955963858,0.0,1,0.0,1500
89.6,33.622653117,72.955963858,0.0,1,0.0,1500
89.7,33.622653117,72.955963858,0.0,1,0.0,1500
89.8,33.622653117,72.955963858,0.0,1,0.0,1500
89.9,33.622653117,72.955963858,0.0,1,0.0,1500
90.0,33.622653117,72.955963858,0.0,1,0.0,1500
90.1,33.622653117,72.955963858,0.0,1,0.0,1500
90.2,33.622653117,72.955963858,0.0,1,0.0,1500
90.3,33.622653117,72.955963858,0.0,1,0.0,1500
90.4,33.622653117,72.955963858,0.0,1,0.0,1500
