Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
        0.022, 0.00172266364098, 0.21966560185, 0.175854191184, 94.7008209229, -245.47618103, 5239.10791016, -5.15231704712, 6.27099370956
        0.023, 0.000988994725049, 0.218660324812, 0.177079617977, 95.6419372559, -244.853500366, 5219.50390625, -5.61432790756, 6.34547376633
        0.024, 0.000356194534106, 0.217529013753, 0.178248122334, 92.5842056274, -244.187240601, 5193.79248047, -6.07622385025, 6.42505693436
        0.025, -0.000173073378392, 0.216256275773, 0.179351106286, 84.3740615845, -243.526687622, 5165.75097656, -6.47676372528, 6.48733091354
        0.026, -0.00060690077953, 0.214854180813, 0.180380955338, 70.8225021362, -242.875213623, 5137.69189453, -6.75475263596, 6.51412010193
        0.027, -0.000960169418249, 0.213384717703, 0.181332305074, 52.9064598083, -242.275817871, 5113.66455078, -6.89159631729, 6.48712873459
        0.028, -0.00125008262694, 0.211914628744, 0.182203993201, 31.8988380432, -241.839874268, 5095.53076172, -6.90747928619, 6.39744329453
        0.029, -0.00149095687084, 0.210516646504,  0.1829983145, 9.82350444794, -241.649017334, 5083.39941406, -6.80149316788, 6.27587366104
         0.03, -0.00169025547802, 0.209232449532, 0.183720603585, -11.8359746933, -241.733673096, 5076.75195312, -6.60585594177, 6.13757038116
        0.031, -0.00184564292431, 0.208083495498, 0.184377864003, -32.0029945374, -242.058532715, 5071.95117188, -6.35484886169, 6.01120281219
        0.032, -0.00194603786804, 0.207060649991, 0.184976994991, -49.7653388977, -242.466522217,     5067.3125, -6.04938173294, 5.91226673126
        0.033, -0.00197654473595, 0.206124603748, 0.185523703694, -64.7166213989, -242.821212769, 5059.41015625, -5.70378637314, 5.82210588455
        0.034, -0.00192286050878, 0.205248773098, 0.18602155149, -76.4941558838, -243.088409424, 5047.64501953, -5.36657190323, 5.73336219788
        0.035, -0.00177635496948, 0.204393953085, 0.186472117901, -85.6638565063, -243.291427612, 5031.95117188, -5.06838655472, 5.66368722916
        0.036, -0.0015369548928, 0.203540474176, 0.186874985695, -92.4937362671, -243.360366821,  5013.1484375, -4.84432268143, 5.63702487946
        0.037, -0.00121442228556, 0.20267033577, 0.187228530645, -97.823677063, -243.196594238, 4994.03808594, -4.67271089554, 5.65822172165
        0.038, -0.000827297451906, 0.20179502666, 0.187531873584, -102.194992065, -242.75541687, 4975.77294922, -4.5557975769, 5.72713279724
        0.039, -0.000401098484872, 0.200934350491, 0.187785238028, -105.687698364, -242.018264771, 4961.22558594, -4.50012350082,  5.8033862114
         0.04, 3.58320612577e-05, 0.200120791793, 0.187991335988, -108.764060974, -241.124465942, 4950.49072266, -4.55125951767, 5.84605407715
        0.041, 0.000458747701487, 0.199401408434, 0.188154906034, -111.583580017, -240.232086182, 4943.88769531, -4.75149106979, 5.86539793015
        0.042, 0.00084933853941, 0.198787912726, 0.188281849027, -114.379013062, -239.330627441, 4940.12548828, -5.07292366028, 5.88101673126
        0.043, 0.0011973233195, 0.198270753026, 0.188377276063, -116.538505554, -238.353652954,    4936.90625, -5.43359470367, 5.90437459946
        0.044, 0.00149964063894, 0.197822317481, 0.188445061445, -117.325462341, -237.247406006, 4933.08007812, -5.77769517899, 5.93194770813
        0.045, 0.00175890314858, 0.197410658002, 0.188487961888, -116.029876709, -236.014907837, 4926.44726562, -6.05572795868,  5.9454536438
        0.046, 0.00198141741566, 0.197007641196, 0.188506796956, -112.162498474, -234.783828735, 4917.38232422, -6.2595539093, 5.91306495667
        0.047, 0.00217458629049, 0.196595445275, 0.188501685858, -105.897689819, -233.741546631, 4905.69140625, -6.4073882103, 5.83680200577
        0.048, 0.00234451028518, 0.196174606681, 0.188471794128, -97.3383560181, -232.976806641, 4892.65380859, -6.5213637352, 5.74280834198
        0.049, 0.00249344436452, 0.195739880204, 0.188416019082, -87.3722763062, -232.406356812, 4879.75390625, -6.5526137352, 5.64947271347
         0.05, 0.00261939922348, 0.195300787687, 0.188333302736, -76.6203765869, -231.942062378, 4867.75439453, -6.45721530914, 5.56461715698
        0.051, 0.00271741650067, 0.194876641035, 0.188223719597, -66.3432998657, -231.558319092, 4858.39794922, -6.25830078125, 5.50411224365
        0.052, 0.00278019206598, 0.194479241967, 0.188088744879, -57.2070388794, -231.227325439, 4851.30517578, -5.96991252899,  5.4521894455
        0.053, 0.00279976474121, 0.194123342633, 0.187930494547, -49.8019332886, -231.019042969, 4846.89892578, -5.6268901825, 5.40417575836
        0.054, 0.00277044507675, 0.193814873695, 0.187752231956, -44.594959259, -230.950759888, 4843.94091797, -5.29693222046, 5.36548662186
        0.055, 0.00269094668329, 0.193558469415, 0.187556952238, -41.4142608643, -230.984039307, 4841.20605469, -5.0479183197, 5.35997819901
        0.056, 0.00256363721564,  0.1933337152, 0.187346860766, -39.8887176514, -230.954162598, 4837.81298828,  -4.849360466, 5.39081954956
        0.057, 0.00239479960874, 0.193123757839, 0.187122911215, -39.1158294678, -230.74937439, 4832.39453125, -4.67798805237,  5.4397277832
        0.058, 0.00219443324022, 0.192921414971, 0.186885476112, -38.7454986572, -230.339736938, 4825.51806641, -4.56014204025, 5.50391769409
        0.059, 0.0019746015314, 0.192702755332, 0.186633959413, -38.059463501, -229.693374634, 4816.84521484, -4.47815656662, 5.55317497253
         0.06, 0.00174664973747, 0.192464068532, 0.186366945505, -36.6665115356, -228.910217285, 4807.70556641, -4.46400403976, 5.56808710098
        0.061, 0.00152066885494, 0.192209586501, 0.186083674431, -34.8386535645, -228.097198486, 4798.77246094, -4.57298851013, 5.55429077148
        0.062, 0.00130480830558, 0.191958531737, 0.185783714056, -32.8632965088, -227.198822021, 4790.68457031, -4.77135467529, 5.53592443466
        0.063, 0.00110383774154, 0.191712424159, 0.185467019677, -31.5034179688, -226.222747803, 4784.48632812, -5.02263593674, 5.52081251144
        0.064, 0.000919901824091, 0.191484078765, 0.185134351254, -31.2009029388, -225.11680603, 4779.69189453, -5.24845600128, 5.49907255173
        0.065, 0.000752505846322, 0.191285654902, 0.184787273407, -32.6328926086, -224.035629272, 4776.83349609, -5.46142292023, 5.45835113525
        0.066, 0.000600352301262, 0.191118910909, 0.184427976608, -36.0107345581, -223.05140686, 4774.69726562, -5.66023683548, 5.39775657654
        0.067, 0.000461969990283, 0.190986722708,  0.1840582937, -41.252696991, -222.300247192, 4772.87451172, -5.86246395111, 5.32324457169
        0.068, 0.000335755525157, 0.19087575376, 0.183679789305, -47.9134902954, -221.711914062, 4770.54443359, -6.0392074585, 5.27130079269
        0.069, 0.000221109163249, 0.190772011876, 0.183292910457, -55.2039375305, -221.171066284, 4766.79833984, -6.10990381241, 5.24068498611
         0.07, 0.000118867355923, 0.190665498376, 0.182897612453, -62.5768852234, -220.659210205, 4762.04101562, -6.05858230591, 5.23062849045
        0.071, 3.09450479108e-05, 0.190545976162, 0.182493388653, -69.1570129395, -220.149505615,     4755.8125, -5.85402679443, 5.21231603622
        0.072, -4.02453333663e-05, 0.190415456891, 0.182079419494, -74.5801239014, -219.787811279, 4749.42675781, -5.5768995285, 5.17369794846
        0.073, -9.1208552476e-05, 0.190277516842, 0.181655302644, -78.8860321045, -219.671585083, 4743.20898438, -5.32815361023, 5.11687707901
        0.074, -0.00011886232096, 0.190146878362, 0.181220903993, -82.1496429443, -219.776123047, 4738.00585938, -5.12675619125, 5.08272600174
        0.075, -0.000121035853226, 0.190021499991, 0.180776387453, -84.9340744019, -219.836242676, 4734.35058594, -4.94266271591,  5.0829615593
        0.076, -9.76999508566e-05, 0.189908191562, 0.180322259665, -87.3348388672, -219.749023438, 4731.68310547, -4.71964120865, 5.09503078461
        0.077, -5.1528277254e-05, 0.18981423974, 0.179859697819, -89.8671417236, -219.490066528, 4730.47265625, -4.49136734009, 5.09074687958
        0.078, 1.32656532514e-05, 0.189746573567, 0.179390504956, -92.731048584, -219.192474365, 4729.46240234, -4.32742214203, 5.06730365753
        0.079, 9.20169550227e-05, 0.189710408449, 0.178916290402, -96.1880950928, -218.909439087, 4728.79003906, -4.29004716873, 5.05405712128
         0.08, 0.000179411916179, 0.189686506987, 0.178438156843, -100.031547546, -218.556396484, 4727.52294922, -4.35645294189, 5.06612968445
        0.081, 0.000269060168648, 0.189661413431, 0.177956104279, -103.511505127, -217.974212646, 4725.21826172, -4.4735417366, 5.09180927277
        0.082, 0.000355053285602, 0.189624086022, 0.177469789982, -106.545051575, -217.17137146, 4722.11035156, -4.59090662003, 5.10182189941
        0.083, 0.000433093082393, 0.189581766725, 0.176978960633, -108.601020813, -216.233688354, 4717.80810547, -4.70331811905,   5.087018013
        0.084, 0.000501679896843, 0.189540416002, 0.176483124495, -110.024398804, -215.369857788, 4713.75439453, -4.87733745575, 5.06501340866
        0.085, 0.000562057015486, 0.189498305321, 0.175982117653, -110.699539185, -214.654129028, 4709.82324219, -5.10445642471, 5.06113767624
        0.086, 0.000615670811385, 0.189452603459, 0.175475358963, -110.513442993, -213.978683472, 4707.08154297, -5.3403544426, 5.07059955597
        0.087, 0.000664311053697, 0.189404815435, 0.174963086843, -109.749549866, -213.26083374, 4705.44042969, -5.49110269547,  5.0842757225
        0.088, 0.000709384563379, 0.189374685287, 0.174446165562, -108.529899597, -212.576599121, 4704.58007812, -5.56367540359, 5.07378721237
        0.089, 0.000751781626604, 0.189371675253, 0.173925891519, -107.473312378, -212.080307007, 4704.68164062, -5.59602594376, 5.06084060669
         0.09, 0.000791622151155, 0.189393699169, 0.17340362072, -106.572593689,  -211.7865448, 4704.65380859, -5.58599853516, 5.04531955719
        0.091, 0.000826494535431, 0.189428672194, 0.172879949212, -105.801101685, -211.62840271, 4704.86914062, -5.52529191971, 5.02959871292
        0.092, 0.000853016565088, 0.189465865493, 0.172355547547, -105.080596924, -211.498001099, 4704.38720703, -5.39487791061, 5.01219129562
